"ID","CM","NAME","ENAME","SEX","LEV","DR","P_STR","P_INT","P_WIZ","P_DEX","P_CON","P_CHA","H_STR","H_INT","H_WIZ","H_DEX","H_CON","H_CHA","P_DIS","P_DEV","P_SAV","P_STL","P_SRH","P_FOS","P_THN","P_THB","P_INFRA","H_DIS","H_DEV","H_SAV","H_STL","H_SRH","H_FOS","H_THN","H_THB","H_INFRA","M_HB","M_HM","M_WB","M_WM","F_HB","F_HM","F_WB","F_WM","P_MITD_M","P_EXP","H_MITD_M","H_EXP","SYM","AGE","AGE_ADD","P_ADD_FLAGS","P_REMOVE_FALGS","H_ADD_FLAGS","H_REMOVE_FALGS"
"0 ","0 ","人間","Human","0x3","1 ","-1 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","5 ","5 ","5 ","0 ","10 ","10 ","10 ","10 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","1 ","100 ","1 ","100 ","p","15 ","20 ",,,,
"1 ","0 ","エルフ","Elf","0x3","1 ","-1 ","-2 ","2 ","2 ","1 ","-2 ","2 ","-1 ","1 ","1 ","0 ","-1 ","1 ","7 ","7 ","8 ","2 ","12 ","12 ","5 ","15 ","3 ","1 ","1 ","2 ","1 ","2 ","2 ","-1 ","5 ","1 ","160 ","8 ","45 ","1 ","140 ","8 ","25 ","1 ","0 ","120 ","0 ","110 ","h","15 ","75 ",,,,
"2 ","0 ","ドワーフ","Dwarf","0x3","1 ","-1 ","2 ","-2 ","2 ","0 ","2 ","0 ","1 ","-1 ","1 ","-1 ","0 ","0 ","7 ","5 ","5 ","-1 ","12 ","9 ","13 ","5 ","5 ","1 ","1 ","0 ","0 ","1 ","1 ","3 ","0 ","2 ","140 ","8 ","50 ","1 ","140 ","8 ","50 ","1 ","0 ","115 ","0 ","105 ","h","20 ","60 ",,,,
"3 ","0 ","ホビット","Hobbit","0x3","1 ","-1 ","-2 ","0 ","0 ","1 ","3 ","0 ","-1 ","0 ","0 ","0 ","1 ","0 ","12 ","2 ","2 ","4 ","10 ","12 ","3 ","15 ","0 ","4 ","-1 ","-1 ","2 ","3 ","2 ","0 ","2 ","0 ","100 ","6 ","20 ","1 ","95 ","6 ","20 ","1 ","0 ","120 ","0 ","110 ","h","25 ","60 ",,,,
"4 ","0 ","ノーム","Gnome","0x3","1 ","-1 ","-2 ","2 ","2 ","1 ","0 ","0 ","-1 ","1 ","0 ","0 ","1 ","0 ","10 ","8 ","6 ","3 ","11 ","13 ","5 ","12 ","8 ","4 ","3 ","3 ","0 ","0 ","1 ","0 ","2 ","3 ","120 ","6 ","30 ","1 ","114 ","6 ","27 ","1 ","0 ","110 ","0 ","105 ","h","15 ","80 ",,,,
"5 ","1 ","野蛮人","Barbarian","0x3","1 ","-1 ","3 ","-2 ","-1 ","1 ","2 ","0 ","1 ","-1 ","-1 ","0 ","1 ","0 ","2 ","-5 ","15 ","-1 ","8 ","10 ","16 ","7 ","0 ","-1 ","-2 ","5 ","0 ","0 ","-1 ","3 ","-1 ","0 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","0 ","120 ","0 ","110 ","p","15 ","20 ",,,,
"6 ","1 ","ドゥナダン","Dunadan","0x3","8 ","-1 ","1 ","2 ","2 ","2 ","3 ","2 ","1 ","0 ","0 ","1 ","2 ","1 ","5 ","5 ","5 ","2 ","11 ","13 ","15 ","12 ","0 ","0 ","0 ","0 ","1 ","-1 ","1 ","2 ","2 ","0 ","185 ","11 ","78 ","1 ","177 ","11 ","65 ","1 ","0 ","190 ","0 ","190 ","p","15 ","100 ",,,,
"7 ","1 ","メルニボネ人","Melnibone","0x3","12 ","-1 ","1 ","4 ","1 ","3 ","2 ","2 ","0 ","2 ","1 ","2 ","0 ","2 ","2 ","12 ","10 ","2 ","14 ","12 ","13 ","13 ","0 ","-2 ","5 ","6 ","1 ","-1 ","1 ","1 ","1 ","0 ","172 ","10 ","58 ","1 ","158 ","10 ","45 ","1 ","0 ","195 ","0 ","195 ","p","15 ","200 ",,,,
"8 ","3 ","アンバーの血族","Amberite","0xF","43 ","21 ","7 ","6 ","6 ","7 ","10 ","7 ","2 ","1 ","1 ","2 ","4 ","2 ","10 ","10 ","10 ","-1 ","20 ","18 ","30 ","30 ","0 ","3 ","3 ","3 ","0 ","7 ","5 ","10 ","10 ","0 ","172 ","10 ","60 ","1 ","158 ","10 ","48 ","1 ","0 ","380 ","0 ","380 ","p","20 ","3000 ",,,,
"9 ","3 ","混沌の血族","Chaosian","0x3","43 ","21 ","6 ","9 ","9 ","6 ","7 ","8 ","2 ","3 ","3 ","1 ","1 ","3 ","8 ","15 ","15 ","-1 ","24 ","21 ","25 ","25 ","0 ","4 ","7 ","7 ","0 ","9 ","7 ","7 ","7 ","0 ","172 ","13 ","60 ","2 ","158 ","13 ","48 ","2 ","0 ","395 ","0 ","395 ","N","20 ","3000 ",,,,
"10 ","0 ","ダークエルフ","Dark-Elf","0x3","1 ","-1 ","-1 ","3 ","2 ","2 ","-2 ","1 ","-1 ","1 ","1 ","0 ","-1 ","1 ","5 ","10 ","10 ","3 ","13 ","12 ","5 ","15 ","5 ","1 ","2 ","1 ","2 ","3 ","2 ","0 ","2 ","2 ","163 ","8 ","50 ","1 ","173 ","8 ","64 ","1 ","0 ","130 ","0 ","135 ","h","15 ","75 ",,,,
